user_id,mental_state,books_preferences,music_preferences,film_preferences
0,happy,"['Mystery', 'Philosophy', 'Chick Lit']","['pop', 'dance', 'indie']","['Fantasy', 'Romance', 'Western']"
0,sad,"['Philosophy', 'Art', 'Graphic Novels']","['electronic', 'alternative', 'dance']","['Western', 'Comedy', 'Adventure']"
0,stressed,"['Nonfiction', 'Sports', 'Memoir']","['soul', 'metal', 'dance']","['Adventure', 'Fantasy', 'Children']"
0,relaxed,"['Thriller', 'Romance', 'Business']","['folk', 'electronic', 'pop']","['Sci-Fi', 'Children', 'Fantasy']"
1,happy,"['Science', 'Paranormal', 'Business']","['electro', 'folk', 'alternative']","['Children', 'Sci-Fi', 'Horror']"
1,sad,"['Horror', 'Mystery', 'LGBT']","['electro', 'folk', 'metal']","['Comedy', 'Sci-Fi', 'Romance']"
1,stressed,"['Historical Fiction', 'Self Help', 'Business']","['alternative', 'metal', 'folk']","['Romance', 'Fantasy', 'Comedy']"
1,relaxed,"['Thriller', 'Historical Fiction', 'Art']","['world-music', 'folk', 'dance']","['Animation', 'Fantasy', 'Comedy']"
2,happy,"['Religion', 'Classics', 'Spirituality']","['soul', 'metal', 'rock']","['Sci-Fi', 'Comedy', 'Horror']"
2,sad,"['Art', 'Self Help', 'Spirituality']","['rock', 'pop', 'soul']","['Animation', 'Comedy', 'Western']"
2,stressed,"['Chick Lit', 'Business', 'Young Adult']","['soul', 'metal', 'electro']","['Animation', 'Western', 'Horror']"
2,relaxed,"['Spirituality', 'Humor', 'Nonfiction']","['pop', 'soul', 'new-age']","['Adventure', 'Western', 'Fantasy']"
3,happy,"['Humor', 'Self Help', 'Nonfiction']","['folk', 'soul', 'electro']","['Comedy', 'Fantasy', 'Romance']"
3,sad,"['Classics', 'Poetry', 'Mystery']","['world-music', 'rock', 'dance']","['Children', 'Horror', 'Western']"
3,stressed,"['Travel', 'LGBT', 'Nonfiction']","['pop', 'rock', 'alternative']","['Western', 'Adventure', 'Animation']"
3,relaxed,"['Science', 'Science Fiction', 'Sports']","['metal', 'soul', 'world-music']","['Sci-Fi', 'Comedy', 'Western']"
4,happy,"['Self Help', 'Spirituality', 'Horror']","['rock', 'indie', 'blues']","['Romance', 'Comedy', 'Fantasy']"
4,sad,"['Mystery', 'Business', 'Self Help']","['pop', 'rock', 'world-music']","['Sci-Fi', 'Western', 'Fantasy']"
4,stressed,"['Poetry', 'Biography', 'Sports']","['pop', 'metal', 'new-age']","['Romance', 'Adventure', 'Western']"
4,relaxed,"['Humor', 'Crime', 'Music']","['dance', 'electronic', 'new-age']","['Romance', 'Comedy', 'Fantasy']"
5,happy,"[""Children's"", 'Business', 'Historical Fiction']","['dance', 'electronic', 'indie']","['Children', 'Animation', 'Sci-Fi']"
5,sad,"['Travel', ""Children's"", 'Memoir']","['electro', 'new-age', 'indie']","['Fantasy', 'Western', 'Comedy']"
5,stressed,"['Science Fiction', 'Memoir', 'Historical Fiction']","['blues', 'dance', 'electronic']","['Adventure', 'Western', 'Romance']"
5,relaxed,"['Science Fiction', 'Young Adult', 'Psychology']","['metal', 'soul', 'world-music']","['Animation', 'Horror', 'Sci-Fi']"
6,happy,"['Self Help', 'Religion', 'Biography']","['soul', 'world-music', 'blues']","['Children', 'Horror', 'Fantasy']"
6,sad,"['Chick Lit', 'Sports', 'Crime']","['dance', 'metal', 'world-music']","['Comedy', 'Children', 'Horror']"
6,stressed,"['Religion', 'Memoir', 'Romance']","['new-age', 'world-music', 'metal']","['Comedy', 'Romance', 'Animation']"
6,relaxed,"['Nonfiction', 'Memoir', 'Chick Lit']","['folk', 'electronic', 'pop']","['Romance', 'Comedy', 'Horror']"
7,happy,"['Religion', 'Thriller', 'Mystery']","['new-age', 'indie', 'alternative']","['Adventure', 'Fantasy', 'Horror']"
7,sad,"['Graphic Novels', 'History', 'Self Help']","['soul', 'pop', 'rock']","['Adventure', 'Romance', 'Sci-Fi']"
7,stressed,"['Historical Fiction', 'Psychology', 'Paranormal']","['folk', 'indie', 'pop']","['Comedy', 'Western', 'Children']"
7,relaxed,"['Science', 'Religion', 'Romance']","['alternative', 'electro', 'soul']","['Adventure', 'Horror', 'Western']"
8,happy,"['Science', 'Chick Lit', 'Crime']","['metal', 'electronic', 'dance']","['Sci-Fi', 'Adventure', 'Fantasy']"
8,sad,"['Self Help', 'Mystery', ""Children's""]","['indie', 'pop', 'metal']","['Western', 'Children', 'Adventure']"
8,stressed,"['Graphic Novels', 'Young Adult', 'Philosophy']","['dance', 'blues', 'folk']","['Children', 'Animation', 'Horror']"
8,relaxed,"['Horror', 'Art', 'Psychology']","['rock', 'folk', 'soul']","['Animation', 'Comedy', 'Sci-Fi']"
9,happy,"['LGBT', 'Spirituality', 'Memoir']","['dance', 'folk', 'world-music']","['Romance', 'Comedy', 'Adventure']"
9,sad,"['Science', 'Religion', 'Travel']","['blues', 'soul', 'new-age']","['Sci-Fi', 'Romance', 'Adventure']"
9,stressed,"['Fiction', 'Psychology', 'Music']","['dance', 'folk', 'new-age']","['Children', 'Adventure', 'Comedy']"
9,relaxed,"['Spirituality', 'Mystery', 'Comics']","['folk', 'electro', 'dance']","['Children', 'Horror', 'Sci-Fi']"
10,happy,"['Sports', 'Paranormal', 'Memoir']","['rock', 'metal', 'pop']","['Adventure', 'Comedy', 'Western']"
10,sad,"['Horror', 'Art', 'Science Fiction']","['alternative', 'pop', 'world-music']","['Fantasy', 'Animation', 'Adventure']"
10,stressed,"['Chick Lit', 'Classics', 'Comics']","['soul', 'folk', 'indie']","['Comedy', 'Horror', 'Adventure']"
10,relaxed,"['Science Fiction', 'Science', 'Memoir']","['alternative', 'folk', 'blues']","['Fantasy', 'Comedy', 'Western']"
11,happy,"['Crime', 'Classics', 'Graphic Novels']","['rock', 'blues', 'electro']","['Fantasy', 'Sci-Fi', 'Animation']"
11,sad,"['Science', 'Comics', 'Thriller']","['metal', 'world-music', 'electro']","['Animation', 'Children', 'Comedy']"
11,stressed,"['Religion', 'Humor', 'Paranormal']","['world-music', 'alternative', 'electronic']","['Romance', 'Animation', 'Horror']"
11,relaxed,"['Humor', 'Young Adult', 'Thriller']","['world-music', 'folk', 'electro']","['Sci-Fi', 'Animation', 'Fantasy']"
12,happy,"['LGBT', 'Religion', 'Fiction']","['blues', 'soul', 'rock']","['Western', 'Children', 'Fantasy']"
12,sad,"['Religion', 'Humor', 'Business']","['new-age', 'dance', 'world-music']","['Fantasy', 'Comedy', 'Horror']"
12,stressed,"['Business', 'Fiction', 'Music']","['electro', 'metal', 'folk']","['Horror', 'Comedy', 'Romance']"
12,relaxed,"['Biography', 'Young Adult', 'Religion']","['alternative', 'electro', 'new-age']","['Western', 'Romance', 'Adventure']"
13,happy,"['Music', 'Memoir', 'Horror']","['electro', 'folk', 'world-music']","['Adventure', 'Comedy', 'Children']"
13,sad,"['Crime', 'Religion', 'Comics']","['rock', 'pop', 'new-age']","['Horror', 'Animation', 'Sci-Fi']"
13,stressed,"['Sports', 'Music', 'Romance']","['indie', 'folk', 'new-age']","['Sci-Fi', 'Horror', 'Children']"
13,relaxed,"['LGBT', 'Science Fiction', 'Comics']","['dance', 'folk', 'alternative']","['Adventure', 'Animation', 'Fantasy']"
14,happy,"['Paranormal', 'Mystery', 'Horror']","['pop', 'electronic', 'electro']","['Comedy', 'Adventure', 'Animation']"
14,sad,"['LGBT', 'Classics', 'Nonfiction']","['metal', 'dance', 'rock']","['Animation', 'Children', 'Horror']"
14,stressed,"['Psychology', 'Travel', 'Music']","['dance', 'metal', 'new-age']","['Sci-Fi', 'Romance', 'Comedy']"
14,relaxed,"[""Children's"", 'Science', 'Humor']","['alternative', 'electronic', 'metal']","['Fantasy', 'Adventure', 'Western']"
15,happy,"['Romance', 'Self Help', 'Nonfiction']","['rock', 'blues', 'indie']","['Comedy', 'Romance', 'Sci-Fi']"
15,sad,"['Memoir', 'Thriller', ""Children's""]","['world-music', 'metal', 'electro']","['Horror', 'Western', 'Children']"
15,stressed,"['Biography', 'Poetry', 'Humor']","['pop', 'dance', 'electro']","['Adventure', 'Fantasy', 'Western']"
15,relaxed,"['Paranormal', 'Mystery', 'Business']","['electronic', 'world-music', 'alternative']","['Romance', 'Comedy', 'Animation']"
16,happy,"['Humor', 'Crime', 'Psychology']","['indie', 'pop', 'metal']","['Animation', 'Fantasy', 'Children']"
16,sad,"['Psychology', 'Business', 'Young Adult']","['world-music', 'electro', 'rock']","['Sci-Fi', 'Fantasy', 'Western']"
16,stressed,"['Mystery', 'Self Help', 'Comics']","['soul', 'electro', 'pop']","['Western', 'Sci-Fi', 'Comedy']"
16,relaxed,"['Art', ""Children's"", 'Classics']","['dance', 'blues', 'world-music']","['Adventure', 'Animation', 'Fantasy']"
17,happy,"['Spirituality', 'Business', 'Chick Lit']","['soul', 'blues', 'indie']","['Fantasy', 'Comedy', 'Animation']"
17,sad,"['Spirituality', 'Humor', 'Biography']","['folk', 'blues', 'pop']","['Horror', 'Children', 'Sci-Fi']"
17,stressed,"['History', 'Sports', 'Graphic Novels']","['dance', 'indie', 'rock']","['Animation', 'Horror', 'Comedy']"
17,relaxed,"['Fiction', 'Humor', 'Horror']","['metal', 'folk', 'soul']","['Horror', 'Fantasy', 'Children']"
18,happy,"['Nonfiction', 'Memoir', 'Business']","['rock', 'new-age', 'folk']","['Comedy', 'Animation', 'Romance']"
18,sad,"['Memoir', 'Young Adult', 'Religion']","['electronic', 'rock', 'metal']","['Sci-Fi', 'Horror', 'Fantasy']"
18,stressed,"['Psychology', 'Business', 'Religion']","['indie', 'dance', 'rock']","['Children', 'Romance', 'Adventure']"
18,relaxed,"['Religion', 'Thriller', 'Memoir']","['blues', 'world-music', 'electronic']","['Comedy', 'Adventure', 'Romance']"
19,happy,"['Philosophy', 'Poetry', 'Religion']","['rock', 'world-music', 'metal']","['Western', 'Adventure', 'Romance']"
19,sad,"['Humor', 'Historical Fiction', 'Music']","['electro', 'world-music', 'pop']","['Horror', 'Sci-Fi', 'Romance']"
19,stressed,"['Graphic Novels', 'Spirituality', 'Nonfiction']","['folk', 'soul', 'electronic']","['Western', 'Adventure', 'Horror']"
19,relaxed,"['Sports', 'Poetry', 'Business']","['electro', 'rock', 'blues']","['Comedy', 'Western', 'Children']"
20,happy,"['Self Help', 'Poetry', 'Thriller']","['rock', 'indie', 'metal']","['Romance', 'Western', 'Fantasy']"
20,sad,"['Classics', 'Historical Fiction', 'History']","['alternative', 'indie', 'rock']","['Horror', 'Fantasy', 'Comedy']"
20,stressed,"['Business', 'Spirituality', 'Poetry']","['pop', 'electronic', 'folk']","['Romance', 'Animation', 'Children']"
20,relaxed,"['Historical Fiction', 'Graphic Novels', 'Crime']","['rock', 'electro', 'indie']","['Children', 'Sci-Fi', 'Adventure']"
21,happy,"['Art', 'Classics', 'Romance']","['indie', 'world-music', 'electro']","['Children', 'Romance', 'Fantasy']"
21,sad,"['Young Adult', 'Science', 'Humor']","['blues', 'electro', 'rock']","['Sci-Fi', 'Horror', 'Fantasy']"
21,stressed,"['Religion', 'Comics', 'Business']","['electronic', 'soul', 'rock']","['Horror', 'Comedy', 'Children']"
21,relaxed,"['Classics', 'Spirituality', 'Science Fiction']","['metal', 'folk', 'indie']","['Sci-Fi', 'Comedy', 'Animation']"
22,happy,"['Classics', 'Graphic Novels', 'Self Help']","['rock', 'world-music', 'dance']","['Comedy', 'Horror', 'Western']"
22,sad,"['Paranormal', 'Romance', 'Travel']","['pop', 'electronic', 'blues']","['Comedy', 'Horror', 'Children']"
22,stressed,"['Poetry', 'Chick Lit', 'Art']","['metal', 'dance', 'alternative']","['Fantasy', 'Horror', 'Romance']"
22,relaxed,"['Horror', 'Science Fiction', 'Classics']","['electronic', 'soul', 'new-age']","['Sci-Fi', 'Children', 'Western']"
23,happy,"['Psychology', 'Science', 'Self Help']","['electronic', 'indie', 'metal']","['Comedy', 'Sci-Fi', 'Animation']"
23,sad,"['Psychology', 'Mystery', 'Business']","['rock', 'pop', 'dance']","['Adventure', 'Comedy', 'Horror']"
23,stressed,"['History', 'Business', 'Poetry']","['electronic', 'world-music', 'pop']","['Adventure', 'Horror', 'Animation']"
23,relaxed,"['Thriller', 'Science', 'Religion']","['rock', 'electronic', 'blues']","['Western', 'Romance', 'Children']"
24,happy,"['Young Adult', 'Chick Lit', 'Mystery']","['pop', 'alternative', 'world-music']","['Romance', 'Horror', 'Adventure']"
24,sad,"['Science', 'Business', 'Memoir']","['new-age', 'pop', 'alternative']","['Children', 'Western', 'Fantasy']"
24,stressed,"['Crime', 'Business', 'Sports']","['metal', 'folk', 'alternative']","['Horror', 'Children', 'Sci-Fi']"
24,relaxed,"['Self Help', 'Science Fiction', 'Religion']","['folk', 'metal', 'rock']","['Comedy', 'Animation', 'Adventure']"
25,happy,"['Comics', 'Sports', 'History']","['pop', 'electro', 'rock']","['Children', 'Animation', 'Horror']"
25,sad,"['Comics', 'LGBT', 'Business']","['world-music', 'folk', 'indie']","['Children', 'Romance', 'Animation']"
25,stressed,"['Paranormal', ""Children's"", 'Psychology']","['electronic', 'new-age', 'pop']","['Western', 'Adventure', 'Comedy']"
25,relaxed,"['Historical Fiction', 'Religion', 'Biography']","['indie', 'electronic', 'metal']","['Horror', 'Children', 'Fantasy']"
26,happy,"['Horror', 'Graphic Novels', 'Romance']","['electro', 'world-music', 'new-age']","['Western', 'Comedy', 'Horror']"
26,sad,"['Classics', 'Horror', 'Philosophy']","['metal', 'dance', 'indie']","['Fantasy', 'Adventure', 'Animation']"
26,stressed,"['Comics', 'Classics', 'Young Adult']","['indie', 'pop', 'world-music']","['Adventure', 'Sci-Fi', 'Fantasy']"
26,relaxed,"['LGBT', 'Nonfiction', 'Music']","['electronic', 'soul', 'pop']","['Children', 'Western', 'Comedy']"
27,happy,"['Philosophy', 'Science', 'Business']","['metal', 'pop', 'alternative']","['Western', 'Children', 'Animation']"
27,sad,"['Psychology', 'Graphic Novels', 'Fiction']","['new-age', 'soul', 'alternative']","['Comedy', 'Adventure', 'Romance']"
27,stressed,"['Poetry', 'Business', 'Mystery']","['soul', 'world-music', 'rock']","['Horror', 'Comedy', 'Sci-Fi']"
